"","FoldChange","CPM","Likelihood_ratio_statistics","PValue","FDR"
"ENSG00000000003",0.821511882109855,30.9047535499513,4.97916217257567,0.0256544044405446,0.0704539735535697
"ENSG00000000419",1.09685203475959,74.4553272072263,1.42293767233977,0.23292048121449,0.38367973225295
"ENSG00000000457",0.78190524942403,16.8728535969983,5.84762897217975,0.0155980531287939,0.0471320233530703
"ENSG00000000460",1.56399268785694,19.4528652760019,24.1770140968967,8.78748434447512e-07,8.65907996797344e-06
"ENSG00000000971",1.30453913526939,307.603108607018,7.20637853628073,0.00726449286699381,0.0250524646157186
"ENSG00000001036",1.02542018515983,325.084275871933,0.171350691812741,0.678914184447868,0.786474796915144
"ENSG00000001084",0.772115849953209,130.08384433325,21.040441763721,4.49690542234994e-06,3.82008759729059e-05
"ENSG00000001167",0.965479151136028,60.2427821564564,0.160537139291069,0.688662466556766,0.793545964287926
"ENSG00000001460",0.950525271793261,9.69707524974636,0.212592371342842,0.644743073468399,0.761079242772677
"ENSG00000001461",0.77021291936448,41.3997836738446,15.1570373302832,9.89288957363711e-05,0.000608585930580555
"ENSG00000001497",1.18542091742588,64.4528117969898,7.12813960496097,0.00758834214129751,0.025977615830949
"ENSG00000001617",0.617436766065722,2.07629096254747,4.47532068292459,0.0343877486765264,0.0892723244184378
"ENSG00000001626",0.637248933720053,2.29245924323746,6.23536650847633,0.0125223674332067,0.0394554398155664
"ENSG00000001629",1.00205819721435,93.1505123127184,0.00105119521541752,0.97413540594636,0.985515245127793
"ENSG00000002016",0.744750353993133,20.5613573729518,9.4353099573446,0.00212847112850083,0.00878874512113704
"ENSG00000002330",0.863973518639942,27.8883372814131,2.21717923411916,0.136482219508101,0.259291634342754
"ENSG00000002549",1.16688925635088,73.0213191921937,6.25604048831765,0.0123770529533638,0.0390581251881601
"ENSG00000002586",0.820065125554608,106.908968123706,11.3552531394658,0.000752348662073147,0.00356245228374004
"ENSG00000002587",2.30836673574075,3.58739672791161,18.5282364733855,1.67405776555145e-05,0.000125766462228256
"ENSG00000002746",0.733010928462207,30.2393846554603,17.1832969169944,3.39407543003759e-05,0.000236273479911961
"ENSG00000002834",0.981163201500098,603.206711039782,0.0862418412682207,0.769010376696443,0.852212260021541
"ENSG00000002919",1.21817198319338,19.0084477533999,3.68424976708004,0.054928677619963,0.129315048619201
"ENSG00000003056",0.96235445738652,188.335011384981,0.295501532250896,0.586716397502765,0.716907481328196
"ENSG00000003096",0.313437892113269,20.5366123763948,178.853647201241,8.62422277680646e-41,1.39447802149067e-38
"ENSG00000003137",1.21343808925467,85.7303016406723,3.58994044177426,0.05813032645417,0.135285641988287
"ENSG00000003147",0.711203246918449,27.022427082454,14.8925790927602,0.000113809813089524,0.00068881319883064
"ENSG00000003249",1.37413175896687,54.4478951394484,18.6823510468957,1.54405061927058e-05,0.000116677091139676
"ENSG00000003393",0.801282733866165,99.4935175790114,10.7939044054777,0.00101834865355944,0.0046132069377578
"ENSG00000003400",0.851964613578894,15.9106132565179,2.7001735846396,0.100337321596797,0.206523904093856
"ENSG00000003402",0.978588814414381,80.5860683147717,0.124848312907847,0.723834455202065,0.818908858400177
"ENSG00000003436",1.06956507230407,96.3822483981912,0.874930444722168,0.349593959637855,0.508562945008601
"ENSG00000003509",0.892443915753496,21.4847292960782,1.49498267500806,0.221444976142231,0.370343652956026
"ENSG00000003756",0.77996144033179,87.3997658523325,15.6255962978294,7.72024471990731e-05,0.000490189032215801
"ENSG00000003987",0.684976348437407,2.23013754319389,3.23204243671908,0.0722105769087016,0.160119105319295
"ENSG00000003989",0.64540374940128,377.165267688917,62.4622963730231,2.71594747636402e-15,7.96808590539868e-14
"ENSG00000004059",0.888598836619444,92.9930678420131,3.45983738588086,0.0628764982808456,0.143514548289726
"ENSG00000004139",0.678267594976619,1.91898337741962,2.71787269044542,0.0992301850762158,0.204748593887685
"ENSG00000004142",1.10835348161543,137.340536691889,3.55966128123403,0.0591998177817195,0.137213586449925
"ENSG00000004399",1.17019398899052,90.3295159339314,4.23415133767788,0.0396184257968585,0.0998460114529756
"ENSG00000004455",1.18994330538246,156.981191578773,6.93109777234159,0.00847096785616953,0.0284612518596071
"ENSG00000004468",1.42006903172666,9.34100142313294,7.92109350726549,0.0048861731117387,0.0180024228914889
"ENSG00000004478",1.52516187466832,203.690976662023,44.7593113773462,2.22804871514289e-11,4.53625518184023e-10
"ENSG00000004487",1.09173927304233,96.6296652848433,2.29912578298816,0.129446837663501,0.248939924127082
"ENSG00000004534",0.793572536198793,82.2267597591257,13.347450049042,0.000258774252504026,0.00142220889875619
"ENSG00000004660",1.68961137670957,2.08402597439454,4.78076787579134,0.0287792849100227,0.0771042073027138
"ENSG00000004700",0.888219959475726,116.901384169758,2.35866041432185,0.124589135085146,0.242069995349356
"ENSG00000004766",0.851896038813611,31.6760585010752,3.03169859139821,0.0816524948382189,0.175838188247168
"ENSG00000004777",0.754964366914936,4.72961770371243,2.33507906325656,0.126488568169231,0.244804928792163
"ENSG00000004779",0.916893743552615,50.5045484299966,0.690453272080487,0.406010248868157,0.563601587025641
"ENSG00000004799",0.176907388486388,6.46616290004481,129.374308312795,5.6162648418553e-30,4.87279466065604e-28
"ENSG00000004838",0.732462962191575,2.15348367054093,2.23237385472641,0.135146069384929,0.257601262060034
"ENSG00000004864",1.04580705919095,109.648930652976,0.596595477673718,0.439879961780138,0.594289021664411
"ENSG00000004866",0.949208919193495,37.5779413188097,0.236426339301076,0.626799199824868,0.747224303090956
"ENSG00000004897",0.937714656798557,109.064062537062,1.01172107867991,0.31449087462791,0.472433027207359
"ENSG00000004948",1.05050989426997,3.70319803337768,0.094869756083453,0.758075222172329,0.844686948808932
"ENSG00000004961",1.2187518877272,101.199468814132,10.7526926752823,0.0010412770573116,0.00470957763778983
"ENSG00000004975",0.88788507299711,65.7602082404819,3.32314976643888,0.0683108367770454,0.153214832361378
"ENSG00000005001",1.7802460093481,2.1482013109379,5.49539039364201,0.0190666702806268,0.0556283886452815
"ENSG00000005007",1.07923410453941,355.588277795834,0.958276853624106,0.327621405437012,0.4864577875366
"ENSG00000005020",0.764465802730237,77.7239093645606,16.6166270158977,4.57481990396161e-05,0.000307923899779895
"ENSG00000005022",1.07388164326604,252.36865114386,1.63449733600318,0.201082130549568,0.345435771681226
"ENSG00000005059",1.10989544412261,17.8894073021319,1.29636493573021,0.254878278977678,0.409237534594152
"ENSG00000005073",1.60481606958746,14.3890789097528,14.8536074801416,0.000116185638419055,0.000701700105715084
"ENSG00000005075",0.813388548347999,42.9334104082772,7.13586960148849,0.00755569923658653,0.0258935559820303
"ENSG00000005100",1.53716716299236,13.0667821101353,13.1214354349188,0.000291936272246686,0.00158005371540437
"ENSG00000005108",0.816627267748384,12.3437464264469,3.43948619113645,0.0636554859975435,0.144967015086275
"ENSG00000005156",1.01110718548764,38.4292788429391,0.0207069918411515,0.885580034274195,0.929032819425724
"ENSG00000005175",1.04381964588394,76.8508612862799,0.250832103308035,0.616489776465835,0.738946426529557
"ENSG00000005189",0.936735490801699,6.40921652617505,0.21609971929866,0.642027942782754,0.759133955035565
"ENSG00000005194",0.953659115438695,67.4226203577623,0.554962383197068,0.456297126193437,0.609581429781843
"ENSG00000005206",0.845432401260084,44.713014765689,1.60975628304713,0.204526064574839,0.349363910304367
"ENSG00000005238",0.754642847638179,35.127190429203,10.9326552442387,0.000944839859984552,0.00432072292895268
"ENSG00000005302",0.825247200083249,22.1838400103775,4.78849078296572,0.028650519833069,0.0768315579918466
"ENSG00000005339",0.89276022399865,103.529255907207,4.02389675121531,0.0448599512310678,0.1102439112378
"ENSG00000005421",0.625609979610387,19.588895980872,13.5386918066035,0.000233695231101358,0.00129639354516227
"ENSG00000005436",1.13382963758307,19.319447414513,1.88722799239622,0.169514908200898,0.304395208075541
"ENSG00000005448",0.892417162386155,4.30114545152836,0.479101347095622,0.488829651648994,0.638280012929589
"ENSG00000005469",0.766194491757609,12.8424295131782,6.12496930019781,0.0133285602374462,0.0415175314401538
"ENSG00000005471",1.04367003009338,3.60429583334011,0.0508529365180825,0.821585691911093,0.887379900577117
"ENSG00000005483",0.815734762427654,95.5329628135612,7.67796704662576,0.00558991064430733,0.020172162961666
"ENSG00000005486",0.833286565591615,66.3033774840482,2.48807869116479,0.114711684396038,0.227869964717469
"ENSG00000005700",1.1060416706992,141.750414001608,2.54820899955935,0.110419362057951,0.22175823609352
"ENSG00000005801",1.37928135132649,27.7182677938378,10.1213895380357,0.00146558466034925,0.00635786711344799
"ENSG00000005810",1.19410617041386,130.93156750844,7.02897800577833,0.00802011104958833,0.0271904798293074
"ENSG00000005812",1.04591373095122,37.3226754697054,0.298160870571612,0.585037693433748,0.715586549894038
"ENSG00000005844",0.507753352202771,3.26265952652037,16.0143055053794,6.28656705179355e-05,0.000409576751739791
"ENSG00000005882",0.601247285065969,5.2947972248105,9.23294563243104,0.00237698942202965,0.0096427174418875
"ENSG00000005884",1.15714015082089,27.9921946593077,2.38048698007713,0.122859242652373,0.239803040288151
"ENSG00000005889",0.823098318299779,64.7164642343961,6.31107290012959,0.0119986208719652,0.0380410820827078
"ENSG00000005893",1.02099319775642,326.674496149297,0.119186146926086,0.729918860423132,0.82309109553006
"ENSG00000006007",0.877802934065303,66.8761273714248,3.51032716918408,0.0609874108744543,0.140172743432342
"ENSG00000006015",1.075318024785,42.7427336225819,0.396279410473852,0.529017006829032,0.670531176747754
