,DMSO_treated_Huh7R_1,DMSO_treated_Huh7R_2,DMSO_treated_Huh7R_3,Fostamatinib_treated_Huh7R_1,Fostamatinib_treated_Huh7R_2,Fostamatinib_treated_Huh7R_3
ENSG00000000003,23.988632033062,28.7376802525442,31.2847290990314,34.2205147976673,34.0519234551126,33.3208300608644
ENSG00000000419,67.4934392794627,83.6537053661846,82.5320948612544,73.2950033255002,72.9905694106171,66.0265063359898
ENSG00000000457,13.2140769673647,14.8441452703981,16.610701402581,18.1215019259515,17.8404154776216,20.9152287151272
ENSG00000000460,21.9895793636402,25.1546107045171,23.0911095730946,15.6136154986993,15.280703691702,13.7384345481718
ENSG00000000971,269.160583150628,375.271692254597,400.146582666659,266.56405734826,271.794851450375,261.850461462916
ENSG00000001036,300.027311656447,348.800851920193,338.694436222133,316.074589395949,323.29935526403,323.05826314395
ENSG00000001084,109.033076105076,114.36573006356,116.945296870189,145.619211904967,147.920314416628,146.816703529716
ENSG00000001167,48.8243202819808,64.2027563911801,64.8040817051366,59.2993790701895,64.3030627432536,59.8749684785994
ENSG00000001460,9.18208937988674,9.72547448750223,9.16195637900207,10.9214408928726,9.46317690552103,9.02225552417251
ENSG00000001461,36.4911817791071,34.9532090603464,36.5733380657725,47.8925408043004,45.531842979843,46.9567389780797
ENSG00000001497,69.2891984570789,69.6870465157115,70.1671781221134,60.351073378392,61.0452477429922,54.7486869307741
ENSG00000001617,1.52470118854208,1.09685802490627,2.01116115636631,3.31688204894648,2.09430964302515,2.05051261913012
ENSG00000001626,1.66023018307915,2.04746831315836,1.56423645495157,2.7505851137605,2.86997988118261,2.56314077391265
ENSG00000001629,90.8721908371079,89.3573670956972,99.2172837140712,87.3715271429804,94.8644701266576,96.5791443610285
ENSG00000002016,17.8559450302595,17.1109851885378,17.653525705882,25.240663396861,19.9347251206468,25.733933370083
ENSG00000002330,28.6305000959568,27.7870699642921,20.6330237153136,30.2564362513654,29.3979020261678,29.9374842392997
ENSG00000002549,74.9136517303675,81.6062370530262,78.9566972499365,65.7713440437436,67.7935788149621,67.9744933241634
ENSG00000002586,100.765807438314,96.084762981789,91.843026140728,120.459448070276,115.652432509278,116.366591135634
ENSG00000002587,5.45504203011722,3.80244115300839,4.0968097629684,2.10338861640508,2.24944369065664,1.43535883339108
ENSG00000002746,25.24227523253,25.8127255194608,25.772657781583,34.0587156733285,33.4313872645866,37.4218552991246
ENSG00000002834,667.954649575968,566.124988588288,557.38959011441,607.636611454561,608.978703977423,610.02750419121
ENSG00000002919,23.480398303548,19.5971967116586,18.3984002082399,18.6068992989681,15.6685388107807,16.5066265839974
ENSG00000003056,161.719972731363,194.143870408409,198.509054878378,186.554390362697,186.781393348317,202.180544246229
ENSG00000003096,9.58867636349796,10.1642176974647,10.2792681325389,30.741833624382,32.9659851216921,31.6804199655603
ENSG00000003137,115.301292102415,86.7249078359222,78.435285098286,82.5984529749843,72.4476002439069,76.5866463245099
ENSG00000003147,19.9566444455841,25.1546107045171,22.7186723219157,31.3890301217374,30.0960052405095,33.4233556918209
ENSG00000003249,67.9339085117082,60.3271913698447,59.4409852881598,49.4296324855195,44.2132035749753,43.163290632689
ENSG00000003393,79.148932809651,91.6973308821639,95.1949614013385,110.104304112589,111.77408131849,109.292322599635
ENSG00000003400,13.1801947187304,14.697897533744,16.1637767011662,17.7170041151044,17.1423122632799,16.4041009530409
ENSG00000003402,79.2844618041881,78.3887868466345,81.1913207570102,85.6726363374225,81.290240958902,76.8942232173794
ENSG00000003436,87.9583174545608,100.984062159704,109.943476548025,94.3288894895511,94.7093360790261,89.7099270869426
ENSG00000003509,17.6526515384538,21.3521695515087,21.9737978195578,22.4900782831005,23.3476741685396,21.9404850246922
ENSG00000003756,74.1343600117793,77.7306720316908,78.062847847107,91.4974048136212,99.0530894127078,104.16604105181
ENSG00000003987,1.89740592351903,1.97434444483128,1.3407741042442,1.94158949206623,2.48214476210388,3.38334582156469
ENSG00000003989,308.938343047259,288.254288945367,290.426568469342,442.84420331544,462.687297060926,470.490120459405
ENSG00000004059,92.5663032688213,89.137995490716,80.2974713541807,98.4547671601918,96.1831095315252,100.782695230245
ENSG00000004139,1.89740592351903,1.31622962988752,1.04282430330105,2.66968555159107,1.62890750013067,2.25556388104313
ENSG00000004142,144.914377408766,144.858383155954,142.792442102008,129.68199815759,130.235032986638,130.412602576675
ENSG00000004399,109.30413409415,95.9385152451348,85.7350552213933,81.8703569154594,79.1959313158768,88.2745682535515
ENSG00000004455,152.741176843282,182.809670817711,176.01384490717,148.04619877005,140.396313106501,140.870216934239
ENSG00000004468,9.55479411486369,12.5041814839314,10.2047806823031,7.20006103307894,8.22210452446909,7.0742685359989
ENSG00000004478,267.093765983938,241.674384821014,227.633647920572,165.439604636477,162.037512751094,155.633907791976
ENSG00000004487,97.6147583153273,100.984062159704,103.612043277983,90.5266100675881,92.6925934598167,93.4008498013768
ENSG00000004534,69.93296118113,75.3907082452241,73.146676131545,85.6726363374225,96.0279754838938,93.2983241704203
ENSG00000004660,2.64281539347294,2.70558312810212,1.56423645495157,1.69889080555795,0.930804285788954,1.53788446434759
ENSG00000004700,93.4811239819466,115.389464220139,121.489031334572,119.731352010751,128.063156319797,123.338334040677
ENSG00000004766,24.8018060002845,30.9313963023567,32.0296036013893,31.7126283704151,34.1294904789283,36.7041758824291
ENSG00000004777,5.35339528421441,3.07120246973755,3.20296036013893,4.93487329233501,5.27455761947074,5.63890970260782
ENSG00000004779,37.4737669895009,51.7716987755758,56.0890500275492,53.3937110318214,53.9866485757593,50.4426104306009
ENSG00000004799,1.76187692898196,1.75497283985003,2.7560356587242,10.7596417685337,12.4107238105194,11.4828706671287
ENSG00000004838,2.20234616122745,1.31622962988752,1.48974900471578,2.18428817857451,2.40457773828813,2.56314077391265
ENSG00000004864,115.064116361976,107.199590967506,113.444386709107,106.463823814965,110.067606794544,104.576143575636
ENSG00000004866,28.1561486150771,41.534357209784,40.4466854780335,37.9418946574609,38.5508108364258,38.9597397634722
ENSG00000004897,96.0222926295167,108.369572860739,112.476049856042,113.421186161536,112.161916437569,111.650412111635
ENSG00000004948,3.48987160932965,3.80244115300839,3.72437251178946,2.99328380026877,4.11105226223455,3.28082019060819
ENSG00000004961,107.271199176094,115.243216483485,110.464888699675,95.2996842355842,90.9861189358703,86.5316325272909
